"Metlin_ID","blankclean1_140226061346","blankclean1_140226063807","blankclean1_140227222715","blankclean1_140227225134","pooled_10","pooled_7","pooled_8","pooled_9","sample1_1","sample1_2","sample1_3","sample1_4","sample2_1","sample2_2","sample2_3","sample2_4","sample3_1","sample3_2","sample3_3","sample3_4"
"M129T2","664044.206763852","664489.352698366","494296.661138396","1244262.86228704","764021.154883262","875656.848784829","886549.533848016","1187966.41551447","834727.669385553","791173.618373685","916918.564642336","824777.963674329","953039.520772127","759010.513499357","842236.436172851","1074402.95346572","894742.947692208","856926.066741191","813779.030975749","806936.522446409"
"M167T4","0","0","749378.391328668","0","0","948706.855985084","0","771128.386230129","942480.283672125","862832.447694302","770467.063126541","907847.752986474","772727.300217837","0","698164.107427284","0","763240.692824285","757705.243572096","0","679904.989052721"
"M169T4","715248.927110053","782476.64652007","649832.011524754","20465.045274728","570388.150637805","210494.151141421","585921.808007889","198479.078610386","397352.131519857","423640.537776474","249277.596839778","252052.128656485","280004.960441483","223753.798901031","617619.42109958","283613.517187651","238162.572166444","303864.034611971","229529.36340633","230323.596080588"
"M168T5","100941.523693034","126795.128364811","138497.175415088","35318.3349818515","210524.878125942","47026.0930986585","240600.617319568","44623.446527471","37498.8721056684","192098.938343542","177034.150316857","203786.678272599","218938.872198982","190130.467783119","198577.007886846","196143.810273441","202832.055626925","187146.756974456","200471.991664305","196657.116864156"
"M116T4","307719.088940075","278332.150606464","278616.416970225","204649.898259718","291608.907096058","269404.62197133","291015.029052986","272107.987922488","307493.479232166","292252.654025457","274039.967228549","251413.169254235","339590.880873275","301207.629278336","320187.160756115","252665.729853308","308565.758246937","299107.101390269","301792.150776006","344078.68941222"
"M233T4","2284037.01439541","1787121.61299713","1229503.50861242","1356971.83437039","1723094.69921445","1853104.82006229","1915881.15059828","74388.1469022131","1777356.81107867","1090315.76158973","2010047.93766277","114993.338827353","88339.8141324514","1307334.56797945","2162302.86445127","1239714.83760718","2205842.61515145","1843738.75428881","1972330.50869082","2067962.70237563"
"M164T4","418900.424539159","467227.176634908","70520.870466807","51484.0537715233","163482.419728608","469653.247135367","317389.58375086","325728.154490686","457118.202496858","427477.119402466","416410.586320463","391598.25647201","330113.39529858","399418.280064915","349699.840391831","251939.060832166","312100.816498637","343665.131640013","310460.090272951","303790.884517619"
"M160T4","159955.897987705","216275.938964278","220055.893474001","209132.878752024","250765.109222428","10863.1272122461","416361.371005874","305196.983236148","424978.252010027","269238.292870116","269214.535316255","303233.730230968","236958.476929548","315837.396908673","251135.185697861","240776.245126858","494155.726155542","234267.555075494","225582.744730701","239216.796259837"
"M142T68","28065.2581971117","25121.4398524457","29594.4717148438","35628.9229064941","37387.0880751607","34468.8974750627","21580.1419744069","12637.8377208501","39083.370436463","62460.937314412","63888.8164370268","49407.4017873875","28512.5783997774","33281.1052960384","33743.1654149299","29877.5106092882","20284.9475543945","13975.6823857422","27534.3515008567","12928.8760370361"
"M102T4","51934.2321396982","330619.731571823","350458.2357211","315676.011886048","361471.587969421","94847.9324612392","357391.634061374","429649.050524246","395986.872995041","94647.9526203939","97368.7952041343","400051.855822005","331493.618608102","99309.3966049923","399749.996975931","372440.755355518","446664.719692406","344130.988721733","104905.164822361","364343.892767933"
"M225T107","26920.2608970734","32086.6585862808","21255.593809257","34588.86225041","24264.0270124023","31744.0754132501","24684.3797920532","44941.9886874966","38845.2571453531","44322.6672443366","47055.3685295571","30456.3544327446","35153.1871057784","27656.7966783947","46155.8872715576","40617.009438189","34376.6444363631","18182.0649950851","41297.267189648","40316.3123480024"
"M158T4","408513.622527526","410141.860087558","386067.619930019","418370.475082582","136324.996350981","517371.106731622","615947.38668623","109427.657446933","622169.993805887","119221.298363494","467263.963223553","575963.861947064","538891.628970491","129202.649728728","627081.961829835","112164.224425694","584465.770657654","591000.771496695","591929.627888079","555937.482879412"
"M103T4","257857.197170669","306582.177477969","359346.003388227","233430.773217834","154854.469937874","644793.493675719","400304.265652518","172689.567168463","531493.923425102","523572.285183392","480467.322941455","173963.853043021","479322.03291386","434275.473920552","419135.27986506","445511.978219928","328346.410975373","404526.575483057","395771.033798382","367787.85930517"
